,Tweets,Date,Likes,RTs,Orchestrate
0,"@renato_mariotti What misinformation? 
Apple is cooperating with the CCP btw, to prevent the protesters from commun… https://t.co/q3X1vuCKDW",2022-11-29 09:33:46+00:00,0,0,0
1,Ridley #CCP Mandy #世界杯 Landon #利物浦 Humble #世界杯投注  https://t.co/pIgD9g8NaS,2022-11-29 09:33:43+00:00,0,0,1
2,"@rachaelvenables @LBC They must be being funded by the CCP, to damage our economy.",2022-11-29 09:33:32+00:00,0,0,1
3,"@lukedepulford Still waiting for him to shut down the Confucius Institutes as he promised.

Meanwhile 🇨🇳CCP continu… https://t.co/dcA2xqx7Tf",2022-11-29 09:33:18+00:00,0,0,1
4,"2024 Bentley Continental GT V8 Convertible Full Specs, Features and Price
https://t.co/XnsdiedX4c
#Bentley… https://t.co/bx0INnU9Yv",2022-11-29 09:33:06+00:00,0,0,0
5,Yet morons in national government want to align with Russia and the CCP regime lol https://t.co/RgM6KmzbxB,2022-11-29 09:33:01+00:00,0,0,0
6,@SnellArthur Can't wait for Afghanistan to wreck the CCP next...,2022-11-29 09:32:56+00:00,0,0,1
7,Jack Dorsey tweets 'End the CCP' over China 'Zero COVID' measures https://t.co/x0NzNICfBP via @nypost,2022-11-29 09:32:37+00:00,0,0,0
8,@8yfWLHl3Oj8XGZs @Cosmos04801113 @johnpilger CCP bot says what?,2022-11-29 09:32:36+00:00,0,0,0
9,@carlquintanilla @onlyyoontv @CNBC @CNBCTechCheck God forbid they should join Apple in banning free speech.  Maybe… https://t.co/fPg4pIz2d1,2022-11-29 09:32:33+00:00,0,0,1
10,@songpinganq PUT DOWN CCP #NÜREMBERG2 #FTHEWEF,2022-11-29 09:32:23+00:00,0,0,0
11,"@edn0420
@hbrtaiwan
Recently, the UK's domestic intelligence service told MPs that numerous individuals employed by… https://t.co/dXOkFDkDvW",2022-11-29 09:32:21+00:00,0,0,0
12,"11/27/2022 Say No to Evil: Speaking the truth in China puts lives at risk, but in the US, the police support and en… https://t.co/JOS48RzSzq",2022-11-29 09:32:21+00:00,0,0,0
13,"I was an Apple shareholder for 7 years but never would I buy an iPhone.

30% cut from all developers just to be on… https://t.co/plg7Sagqqx",2022-11-29 09:32:18+00:00,0,0,1
14,@selinawangtv The CCP literally spends more on the police than the fucking military,2022-11-29 09:32:13+00:00,0,0,0
15,"@WholeMarsBlog Of course Apple are helping the CCP squash the ongoing unrest, Apple will do what ever &amp; to whoever… https://t.co/nX8T8ja8pN",2022-11-29 09:32:03+00:00,0,0,1
16,"@mjslanguage @JamesManson6263 Agreed, not a fair comparison. Xi has not publicly disparaged Chinese protestors as f… https://t.co/KSehoAtMc4",2022-11-29 09:32:03+00:00,0,0,0
17,@JDCocchiarella Apple hates free speech so much they worked with the CCP to disrupt communications of protesters in China 🤔,2022-11-29 09:31:57+00:00,0,0,1
18,"Xijinping is bulldozing the revolution of freedom in the name of Covid19.
People actually want freedom from Xijinpi… https://t.co/yMnIVoMbpK",2022-11-29 09:31:54+00:00,0,0,0
19,Eldwin #CCP Leith #世界杯 Blooming #2028卡塔尔 Guardian #世界杯投注  https://t.co/b4bGBAOE4T,2022-11-29 09:31:50+00:00,0,0,1
